URL,Event Type,Event Description,Event Topic,Start Time,End Time,Categories
https://calendar.utdallas.edu/event/osim-research-seminar-series-effects-of-top-managements-temporal-and-regulatory-focus-on-the-survival-of-private-banks-an-analysis-of-the-erosion-of-swiss-banking-secrecy,Lectures & Workshops,"Abstract:  Temporal and regulatory focus represent motivational attributes that help explain how managerial cognition relates to strategic action. Despite a growing body of literature, we know little about how these motivational attributes affect a firm’s ability to survive the challenges associated with major industry-level discontinuities. We develop and test theoretical arguments to understand how temporal and regulatory focus affect an organization’s ability to survive a period of industry turbulence. We test our arguments on a unique dataset of 99 Swiss private banks that faced the erosion of banking secrecy during 2007-2016. Our findings support our theorizing that these two motivational attributes impact organizational survival but that their influence evolves over time. Specifically, we find that past focus increases mortality at the inception of uncertainty, but its effect becomes weaker over time. Prevention focus, on the other hand, reduces mortality at the inception of uncertainty. However, its effect also weakens over time and is substituted by promotion focus that helps reduce mortality at later stages of environmental change. Our findings provide novel insights into the temporal patterns of temporal and regulatory foci during discontinuous change and the effects of top management team’s cognition on organizational survival.",Event Topic not found,,,"Tutoring, Uncategorized"
https://calendar.utdallas.edu/event/ancient-echoes-modern-voices-the-crow-collection-goes-beyond,"Arts & Performances,Campus & Community,Lectures & Workshops","The Crow Museum of Asian Art presents Ancient Echoes, Modern Voices: The Crow Collection Goes Beyond, in the new Asian art galleries of the Edith and Peter O'Donnell Jr. Athenaeum Phase I Museum. A seemingly simple phrase, Asian art invokes a complex and unwieldy category. To begin to define this field, Asia can be fixed geographically as it is the largest continent in terms of population and landmass- a region that is about thirty percent of the earth’s total land area. Besides geography, Asia can also be crystallized by its specific traits including language, culture, and history. However, due to shifting geo-political boundaries, its diverse cultures, and diaspora, Asian art is global. Through the founding of this new museum, the Crow collection defines Asia as endlessly diverse, and not of one place, time, or idea.To denote the overlapping circles of meaning, the Crow Galleries are not labeled according to the nation states of China, India, or Japan. Instead, themes that elicit important stories of cross-cultural contact and that are vital to specific Asia’scommunities are foregrounded. The artworks can be considered with these themes in mind or on their own. Through both vantage points, these artworks challenge visitors to contemplate and rethink their relationship to these objects compelling the questions of “what are the stories that are being narrated?” and, “what stories are absent?” Throughout the galleries, visitors and studentsare invited to honor these objects' histories and create new narratives alongside them.","Arts & Culture,Health & Wellness,Campus Life",2024-11-12T11:00:00-06:00,2024-11-12T17:00:00-06:00,"Social, Tutoring"
https://calendar.utdallas.edu/event/the-horror,Arts & Performances,"The HORRORWhat is it about things that go bump in the night that we find so fascinating? Why do people flock to haunted houses and horror movies? From ancient tales of ghosts and demons to Hollywood franchises and creepypasta creations, horror provides an endless wellspring of ways to explore our own mortality and interpret events – both humanmade and unexplainable – that exist outside the norm of rational thought and behavior. In this increasingly unhinged world, horror is often the only way to think through apocalyptic anxieties around a host of issues, such as politics, the environment, generational trauma, body dysmorphia, aging, and, most importantly, death. This fall, the SP/N Gallery presents “The Horror,” an exhibition featuring artists who use the horror genre to disturbing, mystical, romantic and comic effects.Curated by Danielle Avram, SP/N Gallery Director and Brian Scott, SP/N Gallery ManagerExhibition exploring the cultural phenomena of horror.Exhibition includes painting, sculpture, video,new media, and a special film screening.Exhibition: October 11 – November 16, 2024Reception Friday, October 11, 6:30 to 8:30 p.m.Get connected.Join the Bass School mailing list.",Arts & Culture,2024-11-12T11:00:00-06:00,2024-11-12T16:00:00-06:00,Social
https://calendar.utdallas.edu/event/mandala-sand-painting-the-mystical-arts-of-tibet,"Arts & Performances,Campus & Community,Lectures & Workshops","November 4-811:00 a.m.-5:00 p.m.Tibetan Buddhist Monks from the Drepung Loseling Monastery visit for a week-long artist residency to construct a magnificent mandala sand painting of Akshobhya – The Unshakable Victor for conflict resolution & peace. Come watch as millions of grains of crushed marble are painstakingly laid into place in this ancient spiritual art form that generates energy for global healing.Magnify your appreciation and understanding of this sacred practice with a hands-on experience. Usingchak-pur, the traditional tool used to produce sand mandalas, visitors will have the opportunity to contribute to a Community Sand Painting uniquely designed by UTD students for the UTD audience.","Arts & Culture,Health & Wellness,Welcoming & Belonging,Campus Life",,,"Social, Tutoring"
https://calendar.utdallas.edu/event/renewal-proposals-2024,Campus & Community,"Join us for an invaluable session featuring a distinguished panel of faculty who have successfully secured renewal awards from prestigious organizations like the NSF and NIH. Gain firsthand insights and expert advice as they share their experiences and best practices for navigating the renewal proposal process. Don’t miss this opportunity to enhance your proposal skills and boost your chances for funding success!Guest Speakers:Dr. Danieli Rodrigues, School of Engineering and Computer ScienceDr. Vladimir Gevorgyan, School of Natural Sciences and MathematicsPlease register to attend by visiting:https://utd.link/RenewalProposals.",Research,,,"STEM, Social"
https://calendar.utdallas.edu/event/suaab-presents-dream-on,Campus & Community,"Unwind and explore your dreams at Dream On! Dive into a mystical experience with our tarot card readers, get crafty, and enjoy free food and cotton candy. Follow us @utdsuaab to find out more!",Campus Life,,,Social
https://calendar.utdallas.edu/event/art-and-awareness-7778,"Arts & Performances,Campus & Community,Lectures & Workshops","Drop-in, ground down, and connect with the present while artist Gaurii S Kumaar aka Deepaa Koshallay leads you through quick creative exercises rooted in mindful self-expression and inspired by an artwork on view.This program is broken into four 15-minute segments. Arrive anytime and stay for however long serves you. No experience necessary. All supplies provided.Free","Arts & Culture,Health & Wellness,Welcoming & Belonging,Campus Life",,,"Social, Tutoring"
https://calendar.utdallas.edu/event/basic-needs-support-group,Campus & Community,"The Student Counseling Center and the Basic Needs Resource Center are proud to offer the Basic Needs Support Group. This support group will connect you with fellow students experiencing similar challenges and give you a way to create community, lean on each other, and remember you are not alone in this.These groups provide an opportunity for support from others who hold similar identities or life experiences. Participation is open and drop-in style, meaning members do not have to be current clients of the center, and you may attend meetings as often or as seldom as you like. Support groups are open to all UTD students, and no group screening is required. Please note support groups are not the same as therapy groups in that they are more focused on building community and peer support guided by a facilitator than in-depth therapeutic intervention.If you are not a current or recent client of the SCC, pleasefollow this link to complete the Groups & Workshops brief intaketo get started and note your interest in joining a support group. You’ll fill out a few forms with basic information for contact and data-collecting purposes only, and the Groups & Workshops Coordinator will reach out to you with the link or additional info to join the support group.If you are a current or recent client of the SCC, reach out to our Groups & Workshops Coordinator atsccgroups@utdallas.eduto get the link or instructions to join.",Health & Wellness,2024-11-12T12:00:00-06:00,2024-11-12T12:50:00-06:00,Social
https://calendar.utdallas.edu/event/hiit-60-6123,Sports & Recreation,"If you are looking for a higher intensity workout built off interval training, you will enjoy HIIT 60! Experience a total body workout composed of short bursts of intense exercise, and brief rest periods; giving you a workout designed to help you push yourself!",Event Topic not found,2024-11-12T12:00:00-06:00,2024-11-12T13:00:00-06:00,"Social, Uncategorized"
https://calendar.utdallas.edu/event/jsom-undergrads-researching-companies-careers-with-ai,Lectures & Workshops,"If you haven’t given much thought to your future career, that’s okay! Let us show you how to use AI to get started.",Event Topic not found,,,"Tutoring, Uncategorized"
https://calendar.utdallas.edu/event/jsom-masters-winning-the-ats-game-5058,Lectures & Workshops,"Target your Resume!for ATS review by leveraging Quinncia (skills gap tool), ChatGPT, Copilot, etc.",Event Topic not found,,,"Tutoring, Uncategorized"
https://calendar.utdallas.edu/event/yin-yoga-7091,Sports & Recreation,"Yin Yoga is a slower paced, more gentle style of yoga. We work with basic movements and poses to stretch and enhance the mobility of the body’s fascial network, while attempting to focus on mindfulness of your motion and surroundings.",Health & Wellness,2024-11-12T12:00:00-06:00,2024-11-12T13:00:00-06:00,Social
https://calendar.utdallas.edu/event/famoly-lunch-and-learn,Campus & Community,Join the orientation team to learn more about becoming an orientation leader in Summer 2025. This is a great opportunity to get a head start with finding a summer job and connecting with other students on campus. Lunch will be provided.,"Career and Professional Development,Campus Life",,,"Career Development/Honors, Social"
https://calendar.utdallas.edu/event/internshipcpt-workshop-fall-2024,,"If you are a Jonsson School student that has questions about the Internship approval process and CPT approval process, please stop by. We look forward to assisting you.",Career and Professional Development,2024-11-19T12:30:00-06:00,2024-11-19T14:00:00-06:00,"Career Development/Honors, Uncategorized"
https://calendar.utdallas.edu/event/finding-culture-in-dfw-2470,Campus & Community,"As one of the most rapidly growing areas in the United States, the DFW Metroplex is very multicultural and plays host to many major events. JoinIntercultural Programson Instagram Live @UTDICPto explore some of the most popular global cultural events held in the Dallas-Fort Worth metropolitan area.Be Globally Engaged!Image by dianeowen18 from Pixabay","Arts & Culture,Welcoming & Belonging",,,Social
https://calendar.utdallas.edu/event/insights-from-a-public-servant-navigating-the-maze-of-the-justice-system,Lectures & Workshops,"Insights from a Public Servant: Navigating the Maze of the Justice SystemExplore careers in the criminal court system!Speaker:Ashley Becerra, M.A. - Tarrant County Criminal Court1:00pm - 2:00pmNovember 5, 2024FN 2.202Hear from our guest speaker, as she shares how her degree helps her coordinate court dockets for judges and prosecutors.",Career and Professional Development,,,"Career Development/Honors, Tutoring"
https://calendar.utdallas.edu/event/ucc-what-jobs-can-i-get-with-this-major-and-how-do-i-get-them-sociology,Lectures & Workshops,Love your degree program but not sure what job you can get with your degree? Join us as we share the wide variety of career paths you can take with a degree in Sociology and how you can go about getting a job or internship. It's never too late to have a plan!,Career and Professional Development,,,"Career Development/Honors, Tutoring"
https://calendar.utdallas.edu/event/gsa-general-body-meeting,Campus & Community,"Join fellow graduate students for an informative, casual meeting and  hear the latest news and updates from the graduate student perspective.  Snacks will be handed out at the end of the meeting.All graduate students are welcome and encouraged to attend.","Career and Professional Development,Campus Life",2024-12-03T14:00:00-06:00,2024-12-03T15:00:00-06:00,"Career Development/Honors, Social"
https://calendar.utdallas.edu/event/using-psychinfo-for-research-library-workshop,Lectures & Workshops,"In this interactive session, the BBS Liaison Librarian will demonstrate searching and retrieving articles using the PsycInfo database.  Workshop will be held in person, and simultaneously shared via Teams. Please Register to attend using the teams link:https://events.teams.microsoft.com/event/32d0dcb5-ec88-45d7-8636-1c0f554e780d@8d281d1d-9c4d-4bf7-b16e-032d15de9f6c",Research,,,"STEM, Tutoring"
https://calendar.utdallas.edu/event/understanding-self-others,Campus & Community,"Understanding Self & Othersis a weekly interpersonal process group for students who want to explore personal growth and increase self-awareness to enhance their experiences in personal and academic settings. In this safe space, group members can practice communicating more honestly and effectively with others while gaining support from peers. Group topics may include adjustment, loneliness, academic/general stress, and relationships.Process groups are focused on the exploration and open processing and discussion of participants. Process groups are typically more open-ended and less structured around a specific lesson or topic for the day. Clients are required to complete a group screening to assess whether the group matches their needs and interest.For process groups, if you are not a current or recent client, pleasemake an appointmentto get started and note your interest in group therapy. You’ll complete intake paperwork and have a 30-minute “IC” (individual consultation) with one of our therapists, and then get scheduled for a brief screening meeting with the group’s leader.If you are a current or recent client, reach out to our Groups & Workshops Coordinator atsccgroups@utdallas.eduto schedule a screening meeting.",Health & Wellness,2024-11-12T14:30:00-06:00,2024-11-12T15:50:00-06:00,Social
https://calendar.utdallas.edu/event/copy-of-12-step-connection,Campus & Community,"The Center for Students in Recovery hosts an open support space to discuss experiences related to substance use, utilizing the ’12-Steps’ as a guide.This is not an official 12-Step meeting, but a connection hour. Come join us!No registration required. Walk-ins are always welcomed!Located in the CSR's office in SSB 4.500.","Health & Wellness,Welcoming & Belonging",2024-11-12T15:00:00-06:00,2024-11-12T16:00:00-06:00,Social
https://calendar.utdallas.edu/event/copy-of-copy-of-getting-unstuck-3-week-series,Campus & Community,"A three-session workshop to help increase your understanding and knowledge about depression. Sessions focus on:Understanding depression,Exploring how thoughts and behaviors impact depression, andLearning and practicing coping strategies to better manage depression.You may choose to attend part or all of each workshop series, as your schedule allows.For our workshops, if you are not a current or recent client of the SCC, pleasefollow this link to complete the Groups & Workshops brief intaketo get started and note your interest in group therapy. You’ll fill out a few forms with basic information for contact and data-collecting purposes only, and the Groups & Workshops Coordinator will reach out to you with the link or additional info to join the workshop.If you are a current or recent client of the SCC, reach out to our Groups & Workshops Coordinator atsccgroups@utdallas.eduto get a link or additional info to join the workshop.",Health & Wellness,2024-11-12T15:00:00-06:00,2024-11-12T15:50:00-06:00,Social
https://calendar.utdallas.edu/event/jsom-undergrads-job-interview-prep,Lectures & Workshops,"Job interviewing is like dating, but with your future paycheck on the line. You dress up, try to impress, and hope they call you back.",Event Topic not found,,,"Tutoring, Uncategorized"
https://calendar.utdallas.edu/event/student-government-senate-meeting,Meetings & Conferences,"Twice a month, the full Senate of UTD's Student Government meets to address student concerns, serving as the official voice of the student body to University administration and governmental entities. At Senate meetings, senators may pass resolutions, allocate project funds, discuss campus issues, and more. All Senate meetings follow Robert's Rules of Order. Visitors welcome!If your organization or department would like to make a presentation before the Senate, please emailsg@utdallas.eduno later than one week prior to the requested meeting. Details on meeting procedures are available here:https://sg.utdallas.edu/committee/meetings/.",Campus Life,2024-11-19T17:30:00-06:00,2024-11-19T19:30:00-06:00,"Career Development/Honors, Social"
https://calendar.utdallas.edu/event/cardio-dance-1425,Sports & Recreation,"Join the party! Cardio Dance is a fusion of Latin and international music and dance that creates a dynamic, effective cardio workout. These fun, easy routines feature interval aerobic training with a combination of fast and slow rhythms that tone and sculpt the body as you dance.",Health & Wellness,2024-11-11T17:15:00-06:00,2024-11-11T18:15:00-06:00,Social
https://calendar.utdallas.edu/event/flow-restore-yoga,Sports & Recreation,"In this class, you’ll start with a dynamic flow sequence that builds strength, flexibility, and endurance. As the class progresses, you’ll transition into restorative poses that promote deep relaxation and recovery. These gentle, longer-held postures are designed to release tension, enhance flexibility, and restore your body’s natural balance.",Health & Wellness,2024-11-12T17:45:00-06:00,2024-11-12T18:45:00-06:00,Social
https://calendar.utdallas.edu/event/first-gen-sales-panel,,"Join us for an inspiring sales panel featuring 1st Generation American Professionals from Hudson Advisors, Weitzman, & Venture, hosted by The UT Dallas Real Estate Club & ALPFA.Register:https://www.realestateclubutd.com/events-1/first-",Career and Professional Development,,,"Career Development/Honors, Uncategorized"
https://calendar.utdallas.edu/event/ghost-in-the-shell-screening,Arts & Performances,"The Games and Media Library in partnership with the Media Archeology Lab present ""Ghost in the Shell"" on laser disc!Comet cards required.",Arts & Culture,,,Social
https://calendar.utdallas.edu/event/first-generation-celebration-week-kickoff,Campus & Community,"Will you be first in your family, excluding siblings, to complete a four-year degree in the United States? If yes, you are first-generation! We’ll be kicking off Celebration Week with a party! Join us for free pizza and free boba (while supplies last!), a live DJ, and limited-edition First-Generation Student Program giveaways (a fancy outdoor blanket and more!). This event is dedicated to celebrating first-generation Comets. You can come and go from 6pm to 8pm at the SCI outside courtyard or SCI 2.210 if it rains.For event updates, follow our Instagram @utdallasfirstgens",Welcoming & Belonging,,,Social
https://calendar.utdallas.edu/event/join-the-get-aws-certified-associate-challenge-1212,,"Who Can Participate:UTD Students, Faculty & Staff.Why Participate:Build Credibility:Gain industry-recognized credentials from AWS.Grow Your Career:Enhance your skills and knowledge in AWS cloud services.Flexible Learning:Access digital, self-paced exam prep resources and hands-on training.Benefits:Trusted Content:Prepare with official AWS Certification Practice resources.Exam Discount:Receive a50% discount voucherfor your exam.Community Support:Engage with AWS experts and peers through live Twitch training sessions.Deadline:Register here!Register for the challenge byDecember 12, 2024.Complete your exam byDecember 12, 2024to use your discount voucher.Don’t miss this opportunity to advance your AWS cloud career!Registertoday and start your journey towards becoming AWS Certified.Have questions? Check out theAWS Community Postor theFAQ page!","Science & Technology,Career and Professional Development",2024-11-10T00:00:00-06:00,2024-11-10T00:00:00-06:00,"Career Development/Honors, STEM, Uncategorized"
https://calendar.utdallas.edu/event/nvidia-and-llamaindex-developer-contest,Lectures & Workshops,"Ready to show off your skills? TheNVIDIA and LlamaIndex Developer Contestis a global developers competition aimed at creating innovative large language model (LLM) applications powered by NVIDIA and LLamaIndex technologies.Why Participate?Global Exposure: Compete with developers from around the world and gain international recognition.Skill Development: Enhance your technical expertise by working with advanced NVIDIA technologies like NeMo™ Guardrails, NeMo Retriever, and NVIDIA TensorRT-LLM.Exciting Prizes: Win amazing prizes, including a $5,000 cash prize for the top project, GeForce RTX 4080 SUPER GPUs, and exclusive meetings with NVIDIA engineers.Professional Growth: Boost your resume with a digital certificate of accomplishment and gain valuable experience that can set you apart in the job market.Important Details:Eligibility:Individual enteries only and must be over the age of 18 years old.Deadline:The contest deadline is November 10thCick the link below to register, review technical resources, and connect with NVIDIA developers:NVIDIA and LlamaIndex Developer Contest | NVIDIA Developer",Science & Technology,2024-11-10T00:00:00-06:00,,"STEM, Tutoring"
https://calendar.utdallas.edu/event/the-mystical-arts-of-tibet-lecture-why-do-we-need-each-other,"Arts & Performances,Campus & Community,Lectures & Workshops","Why Do We Need Each Other? With changing reality, marked particularly by instant social media and increasing globalization, we have come much closer and become much more dependent on each other. These changes by themselves are neither positive nor negative, except they represent a marked acceleration of pace of life and range of accessibility. However, our life situations have become much more volatile and vulnerable, and thus calls for an unprecedented sense of responsibility and belonging. How do we achieve this? What role can each of us play? Join us for a lecture that explores these questions and more.Parking is free of charge in the orange sapces in Lot M East and gold spaces Lot M South for the evening.","Arts & Culture,Health & Wellness,Welcoming & Belonging,Campus Life",,,"Social, Tutoring"
https://calendar.utdallas.edu/event/iweek25-registration-for-passport-to-the-world-or-global-talent-show,"Campus & Community,Arts & Performances","iWeek 2025is scheduled from February 17 to 21, 2025! iWeek is a week of intercultural focused programs and events that showcase international culture through food, music, performance art and much more. iWeek is sponsored by Intercultural Programs in collaboration with campus and community partners.You are welcome to register your student organization  or individual participation inPassport to the Worldand/orGlobal Talent Showfrom November 4 to December 6.Passport to the Worldis an expo of cultures featuring food samples, music, dance demos, etc. and scheduled on Monday, February 17.Global Talent Showis a showcase of culture through performance art and scheduled on Friday, February 21. Auditions will be held on January 31, between 2-5pm.Be Globally Engaged!Photo byPhil DesforgesonUnsplash",Event Topic not found,2024-11-11T08:00:00-06:00,2024-11-11T17:00:00-06:00,"Social, Uncategorized"
https://calendar.utdallas.edu/event/vision-dental-screening,Campus & Community,"Experiencing a toothache or not sure if you need a dental cleaning?  No problem!  The Student Health Center, together with Canyon Creek Family Dentistry, will be hosting dental screenings. Please login to thePatient Portalto schedule your appointment.",Health & Wellness,2024-11-20T09:00:00-06:00,2024-11-20T15:00:00-06:00,Social
https://calendar.utdallas.edu/event/copy-of-ms-accounting-flex-qa-session-6796,Campus & Community,"This free information session is for those interested in theMaster of Science in AccountingFlexdegree. The session is open to all prospective students, including those nearing completion of their undergraduate degrees. This session will cover application procedures, program curriculum, and various degree requirements.Clickhereto registerfor the session.Clickhereto join the session.",Campus Life,2024-11-14T12:00:00-06:00,2024-11-14T13:00:00-06:00,Social
https://calendar.utdallas.edu/event/ms-in-international-management-studies-info-session-virtual,Meetings & Conferences,"Are you interested in learning how to successfully manage and lead globally?Our program offers you the flexibility to prepare for a successful career, whether you choose to work in your home country or explore opportunities abroad. You'll gain a deeper understanding of how global markets work and how to identify promising opportunities, as well as the risks associated with international operations. We'll also equip you with the skills to evaluate investment possibilities and alternative entry strategies. By completing our program, you'll develop strong cross-cultural competence and communication skills, which will enable you to effectively lead and manage diverse teams in a global context. We look forward to helping you achieve your career goals!Register here:https://forms.office.com/r/HB1v5CxhDT?origin=lprLink",Career and Professional Development,2024-11-13T09:00:00-06:00,2024-11-13T10:00:00-06:00,Career Development/Honors
https://calendar.utdallas.edu/event/international-table-tennis-singles-tournament-Fall24,"Campus & Community,Sports & Recreation","Compete or cheer with fellow students at this Fall 2024 Singles Table Tennis Tournament.This is a great and enjoyable intercultural opportunity to meet new international and domestic friends. Join us!Sign upbeginning November 3rd at 9:00am until November 9th at 11:30pm. Brackets will be created by Comp Sports staff after check-in ends, and everyone will play as the tables become available, according to the staff members' coordination. The tournament will take place onSunday, November 10 from 4pm to 8pm.Brought to you byUniversity RecreationandIntercultural Programs.Be Globally Engaged!Photo byJosh SorensonviaPexels.","Campus Life,Health & Wellness,Arts & Culture",,,Social
https://calendar.utdallas.edu/event/vis-tuition-and-fees-fa2024,"Campus & Community,Lectures & Workshops","This session will provide detailed information regarding making a tuition plan selection, payment plan options, in-state waivers, and a variety of Bursar related functions. We will answer numerous frequently asked questions, specifically related to our international student population, while providing a list of suggested action items.Be Globally Engaged!",Campus Life,,,"Social, Tutoring"
https://calendar.utdallas.edu/event/basic-needs-resource-center-welcome-in-wednesdays-fall-2024,,"Welcome In Wednesdays are a weekly event for Comets to visit the newly opened Basic Needs Resource Center (BNRC) and learn about our resources and services! Everyone is invited to visit the BNRC lounge to relax, socialize, study, play board games or Nintendo Switch, visit Temoc’s Closet, and learn about the newest office in the Health and Wellness initiatives in Student Affairs!On select Welcome In Wednesdays, from 1:30pm – 2:30pm in the SSB 4.300 lounge, there will be on-campus departments and community partners giving presentation/information sessions for students to attend regarding services offered and short workshops.Confirmed speakers:September 11th: UTD AlumniSeptember 25th: Volunteer event for the Comet CupboardOctober 9th: University Career CenterOctober 16th: Student Organization CenterOctober 23rd: Student Counseling Center - Sleep hygiene workshopOctober 30th: Dean of Students OfficNovember 6th: University Career Center - LinkedIn 101 workshopNovember 13th: Connections Homes (Community Partner)November 20th: Comet CupboardDecember 4th: Center for Brain HealthDecember 11th: DARCC (Community Partner)---For more information about the BNRC, please follow us on Instagram @utdbasicneeds. Please don't hesistate to reach out to our team via email with any questions atbasicneeds@utdallas.edu.",Event Topic not found,2024-11-13T10:00:00-06:00,2024-11-13T16:00:00-06:00,Uncategorized
