name,description,url,start_date,end_date,image,categories,location_name,location_address
World Mental Health Day 2025: Button-Making Station,"October 10th is World Mental Health Day! Join the Student Counseling Center and other on and off-campus partners for a day of fun, reflection, and connection. 

Join the Basic Needs Resource Center for our button-making station! Attendees will be able to decorate and press their own buttons. 

More details will be added to this description closer to October 10th.",https://calendar.utdallas.edu/event/world-mental-health-day-2025-button-making-station,2025-10-10 11:00:00,2025-10-10 15:00:00,https://localist-images.azureedge.net/photos/30999161561163/huge/be42eea581e69216cc326286e33d63b24b57f7d2.jpg,Campus & Community,Student Union (SU),"800 W. Campbell Road, Richardson, Texas 75080-3021	"
World Mental Health Day 2025: GSA Tea Bag Making,"Join the Graduate Student Assembly in celebrating World Mental Health Day with a soothing and creative activity - Tea Bag Making! 

Take a mindful break from your busy schedule and craft your own custom tea blends using calming herbs like chamomile, lavender, rose, and more. This hands-on session promotes relaxation, mindfulness, and self-care - reminding us that wellness begins with small, intentional moments of peace.

All materials will be provided, and you’ll get to take your handmade tea bags home. Whether you’re looking to de-stress, connect with fellow graduate students, or simply enjoy the art of making something calming, this event is the perfect way to unwind.",https://calendar.utdallas.edu/event/tea-bag-making-world-mental-health-day,2025-10-10 11:00:00,2025-10-10 15:00:00,https://localist-images.azureedge.net/photos/31829400425215/huge/c0cde055abcca1a05ed5bc54776169ebc6fd4dbf.jpg,Campus & Community,SU Mall Plinth,
World Mental Health Day 2025: Just Dance,"Join us for a fun, energizing celebration of mental well-being through movement! In honor of World Mental Health Day, we're turning up the music and coming together for an hour of dancing with Just Dance — no experience needed, just a willingness to move and let go!

This upbeat, stress-relieving session is all about joy, connection, and boosting your mood through physical activity. Whether you're a pro dancer or just love to groove in your own way, this is your moment to dance for your mental health.

Why dance? Because movement is medicine — and joy is contagious.

✨ Open to all
🎮 Powered by Just Dance
🧠 Because mental health matters

Let’s dance it out, together.",https://calendar.utdallas.edu/event/world-mental-health-day-2025-just-dance,2025-10-10 11:00:00,2025-10-10 12:00:00,https://localist-images.azureedge.net/photos/50835327918199/huge/4bddcd947577ba45728f9b580d754f7f60ec42d6.jpg,Career Development,SU Green,
World Mental Health Day 2025: Library Resources for You!,"McDermott Library is joining this year's World Mental Health Day! Find our table outside the SU Green to learn about the great mental health resources that students, staff, and faculty can access through the library. We will have information about great titles, online resources, and more to support and celebrate your mental health journey!",https://calendar.utdallas.edu/event/WMHD25-library-resources-for-you,2025-10-10 11:00:00,2025-10-10 15:00:00,https://localist-images.azureedge.net/photos/50834380557610/huge/d9f11a39309e092a7cd156258255f1a33afe1f80.jpg,Campus & Community,SU Green,
World Mental Health Day 2025: Mindfulness Beads,"Create a string of beads to hold your intention, practice gratitude, repeat affirmations, and use as a tool to focus, reflect, and center yourself in times of stress.",https://calendar.utdallas.edu/event/mindfulness-beads,2025-10-10 11:00:00,2025-10-10 15:00:00,https://localist-images.azureedge.net/photos/31211952113791/huge/a898137c27363978c5b94bd93fd02a811602dd88.jpg,Campus & Community,Student Union (SU),"800 W. Campbell Road, Richardson, Texas 75080-3021	"
World Mental Health Day 2025: Vision Boards,"October 10th is World Mental Health Day! Join the Student Counseling Center and other on and off-campus partners for a day of fun, reflection, and connection. SUAAB will be tabling with vision board supplies. Follow us @utdsuaab on Instagram to learn more or text SUAAB to 71444 to join our text system. SUAAB is a student-run programming board that hosts at least 1 event a week for the UTD community.",https://calendar.utdallas.edu/event/world-mental-health-day-2025-vision-boards,2025-10-10 11:00:00,2025-10-10 15:00:00,https://localist-images.azureedge.net/photos/50835283583178/huge/6c17608ee38d42d59c8b7a421fdcbf6e652385c5.jpg,Campus & Community,Student Union (SU),"800 W. Campbell Road, Richardson, Texas 75080-3021	"
World Mental Health Day: Sleep is Good Medicine,"World Mental Health Day is October 10th! Join the Student Counseling Center and the Student Health Center for information on the importance of sleep in physical and mental well-being, tips for improving sleep, and resources that can aid you in your sleep hygiene journey.",https://calendar.utdallas.edu/event/world-mental-health-day-sleep-is-good-medicine,2025-10-10 11:00:00,2025-10-10 15:00:00,https://localist-images.azureedge.net/photos/50836201030830/huge/db5366f86a787cd0546fa38b02df6037190236d3.jpg,Campus & Community,Student Union (SU),"800 W. Campbell Road, Richardson, Texas 75080-3021	"
Renia Spiegel's Legacy: In the Voices of Her Sister and Niece,"Join us for a moving conversation with Elizabeth Bellak (Renia Spiegel's sister) and Alexandra Bellak (Renia's niece), as they reflect on the life and diary of Renia Spiegel, often called the “Polish Anne Frank.” Written during the German occupation of Poland, Renia’s Diary captures the hopes, fears, and resilience of a young girl whose voice was silenced during the Holocaust. Elizabeth and Alexandra will share intimate family memories, the story of the diary’s rediscovery and publication, and the ongoing responsibility of preserving Renia’s legacy for future generations.",https://calendar.utdallas.edu/event/renia-spiegels-legacy-in-the-voices-of-her-sister-and-niece-3500,2025-10-10 11:30:00,2025-10-10 12:30:00,https://localist-images.azureedge.net/photos/50877665910042/huge/e152e4f98219ac54b9db544eb5b71ec440c0ca24.jpg,Career Development,,
Early Vocabulary Development in Children With IDD and Autistic Children Who Use AAC — Callier FLASH Seminar,"Callier FLASH Seminar in Speech, Language and Hearing

Title: Early Vocabulary Development in Children With IDD and Autistic Children Who Use AAC

Speaker: Courtney Trevino, PhD, CCC-SLP
Texas Christian University

Dr. Trevino’s line of work examines early vocabulary development in children who use augmentative and alternative communication (AAC), with focus on word learning and lexical integration. This presentation will review outcomes from studies involving children with intellectual and/or developmental disabilities and autistic children who use AAC. Theoretical and clinical implications will be discussed, along with future directions informed by these outcomes.

Courtney Trevino, PhD, CCC-SLP is a Postdoctoral Fellow in the CHLLD Lab (PI: Dr. Emily Lund) in the Davies School of Communication Sciences and Disorders at Texas Christian University. Dr. Trevino completed her Bachelor of Science in Communication Sciences and Disorders (2015), Master of Science in Speech Language Pathology (2017), and PhD in Health Sciences (with emphasis in speech-language pathology; 2024). She also practiced in a rural school district (as the AAC Team Lead) for four years prior to returning to academia to pursue her PhD. Dr. Trevino’s line of work focuses on early word learning and lexical integration in children with IDD and autistic children who use AAC. Her Postdoctoral Fellow experience has expanded her work to include children who are deaf or hard of hearing, semantic development past early stages, and longitudinal methodology.

The talk on Friday, October 10, 2025 at 12:00pm - 1pm will be a hybrid talk, in-person in CD A229 and also on MS Teams. 

MS Teams link
Meeting ID: 285 944 050 588 2
Passcode: 7xa3Po3N",https://calendar.utdallas.edu/event/courtney-trevino-10-10-2025-callier-flash-seminar,2025-10-10 12:00:00,2025-10-10 13:00:00,https://localist-images.azureedge.net/photos/50507632091863/huge/884421d5263ecdaa436927ed6fac1b9db6a2d531.jpg,Lectures & Workshops,Callier Center Dallas,"1966 Inwood Rd Dallas, TX 75235"
Using “Sidewalk Neuroscience” to Study Power Relationships — Frontiers of BrainHealth Lecture,"Register for free ↗

Friday, October 10 @ 12:00 p.m. CST

Using “Sidewalk Neuroscience” to Study Power Relationships

Patrick A. Stewart, PhD
University of Arkansas

“Sidewalk neuroscience” refers to gaining insights into the function of human behavior through simple observation; as a result, this form of scientific discovery is available to all and, if rigorously applied, can provide insights into human emotions and behavioral intent. In this presentation, political scientist Dr. Patrick A. Stewart discusses how observing and coding the behavior of public figures by using the Ethological Coding System for Interviews (ECSI) and eye blink rates can provide insights into power relationships.

Dr. Patrick A. Stewart currently teaches graduate and undergraduate classes at the University of Arkansas, Fayetteville, where he is a professor and director of online education in the Department of Political Science. Read more.

Talks are hybrid. Registrants receive updates, online access to live talks and recordings after each event. Season registration is free of charge. Register for the season to enjoy as many talks as you are able. No registration is needed to attend in person.

About This Series

Talks take place off of main campus, inside Center for BrainHealth's Brain Performance Institute (near Love Field Airport). This research-focused series invites scientists to share their discoveries with students, other brain health researchers and curious members of the public. All are welcome, but please note that these lunchtime lectures are heavily science-focused and are not necessarily intended for a lay audience.

​​​​​​Center for BrainHealth
2200 West Mockingbird Lane
Dallas, TX 75235

The host for this event is Daniel Krawczyk, PhD.",https://calendar.utdallas.edu/event/frontiers-of-brainhealth-fall-2025-stewart,2025-10-10 12:00:00,2025-10-10 13:00:00,https://localist-images.azureedge.net/photos/50641419212813/huge/20b4f7518ce2e1cbbbb17350a7b3a7e2498b98f0.jpg,Lectures & Workshops,Center for BrainHealth,"2200 West Mockingbird Lane Dallas, TX 75235"
World Mental Health Day 2025 Film Screening: Mental Health in Motion,"The Student Counseling Center is excited to host a screening of Mental Health in Motion- a collaborative film project created by students from Neuropharmacology, Music Theory, and Experimental Animation. The screening will include a Q&A with the filmmakers and counseling center staff. 

About Mental Health in Motion: This project marks the collaboration between faculty and students, highlighting the courses taught by Dr. Siham Raboune, Dr. Katrina Rushing, and Dr. Christine Veras. This collaboration brings together students from Neuropharmacology, Music Theory, and Experimental Animation to create short animations on the topic of mental health aimed at young adults on our campus. As mental health awareness continues to grow, we hope that this interdisciplinary initiative can offer a playful, creative, and accessible approach to sharing key information about our brain and its chemistry.",https://calendar.utdallas.edu/event/world-mental-health-day-film-screening-mental-health-in-motion,2025-10-10 12:00:00,2025-10-10 13:30:00,https://localist-images.azureedge.net/photos/50842889984396/huge/b64d76e23ef985ec316ff61ae56047e587ddd7a2.jpg,Campus & Community,SU Green,
Circuit Blast,"A fast-paced, 45-minute circuit training class that combines strength, cardio, and functional movements at rotating stations to deliver a full-body workout. Designed to keep you moving and challenged, each station targets different muscle groups using a mix of equipment like dumbbells, kettlebells, battle ropes, and bodyweight exercises. You’ll cycle through timed intervals with short rest periods, building endurance, strength, and agility. Perfect for all levels, no two classes are the same-just show up and crush it one station at a time.",https://calendar.utdallas.edu/event/circuit-blast-8888,2025-10-10 12:15:00,2025-10-10 13:00:00,https://localist-images.azureedge.net/photos/50580825007759/huge/c939fc732fa476e956d4fcd171f6643a5daec1bd.jpg,Sports & Recreation,Activity Center (AB),"800 W. Campbell Road, Richardson, Texas 75080-3021"
"BMS Group  - Actuarial Information Session - October 10, 2025","Dear Actuarial Students and all interested in Actuarial Science,

The UT Dallas Actuarial Program will host an Actuarial Career Day Event with BMS Group on Friday, October 10,  2025, 12:30 pm - 2:30 pm in JO 3.601 - Erik Jonsson Academic Center. 

Below is the link to register for the BMS Group event:

https://forms.gle/3N6xGP2bZcHdhC3F6

Registration is free and is used to estimate the number of participants. 

Refreshments will be provided.

 Bring your resume and be ready to talk to the employer about your actuarial studies at UT Dallas and your future career plans.

We look forward to seeing you at this event!",https://calendar.utdallas.edu/event/bms-actuarial-information-session-october-10-2025,2025-10-10 12:30:00,2025-10-10 14:30:00,https://localist-images.azureedge.net/photos/50172167537442/huge/446fc7ce9dcb026686aeaed88cfc6a8c06c5c035.jpg,Meetings & Conferences,JO 3.601,
Alumni Appreciation Day,"The UTD Bookstore appreciates our alumni! Join us this Friday for the UTD Bookstore's Alumni Appreciation Event!

Activities

Free snacks while supplies lastGiveaways

In-store giveawaysPost a photo on Instagram to win a prize- tag @UTDAuxiliaryServices and @UTDallasAlumniIn-Store Promotions

10% Discounts just for AlumniSome items marked 20%",https://calendar.utdallas.edu/event/alumni-appreciation-day,2025-10-10 13:00:00,2025-10-10 17:00:00,https://localist-images.azureedge.net/photos/50950548744884/huge/8cae91d05fbcbadfa0aad6ca22374b5663e5e830.jpg,Campus & Community,Activity Center Bookstore (ACB),"842 Loop Rd SW, Richardson, TX 75080"
Find Us Fridays,"Treat yourself at the end of the week with a wholesome snack (while supplies last), and explore the recreational resources available in the Center for Students in Recovery’s lounge! Students can enjoy a snack, drink coffee, do some coloring, play board games and puzzles—and even try out our Wii!

'Find Us Fridays' will take place every Friday this fall semester from 1:00pm-3:00pm in SSB 4.500.

For any questions, please email recovery@utdallas.edu.",https://calendar.utdallas.edu/event/find-us-fridays,2025-10-10 13:00:00,2025-10-10 15:00:00,https://localist-images.azureedge.net/photos/50842942289484/huge/bc7b797295645451d3e4e84560c9a413bdb40459.jpg,Campus & Community,Student Services Building (SSB),"800 W. Campbell Road, Richardson, Texas 75080-3021"
JSOM CMC Walk-In Hours - JSOM GRAD,"Do you have a quick question about your resume, upcoming interview, networking, LinkedIn and/or internships?  No appointment required. Walk-in career coaching is available during the posted time window.  This event is for JSOM Graduate Students.",https://calendar.utdallas.edu/event/jsom-cmc-walk-in-hours-jsom-grad-5151,2025-10-10 13:00:00,2025-10-10 17:00:00,https://localist-images.azureedge.net/photos/31839389778890/huge/233d5eee963bcc18952c099d0493a1962d12e8a8.jpg,Lectures & Workshops,Naveen Jindal School of Management (JSOM) JSOM 12.110 - Naveen Jindal School of Management (JSOM),
