Prefix,Course Code,Course Name,Description,College
ANGM,ANGM3365,"ANGM 3365 Game Design I (3 semester credit hours) This course presents principles and techniques of interactive game design, including but not limited to game mechanics, player dynamics, social and multiplayer structures, statistics and game theory, and systems analysis. Students will work individually and in teams to create original interactive games as well as learn the fundamentals of focus testing, usability testing, and critique. Course focuses on both analog and digital games. Prerequisite", ANGM 2310 with a grade of B or better. (0-3) Y,
ANGM,ANGM3366,"ANGM 3366 Game Studies I (3 semester credit hours) Introduction to critical game studies, including analysis of digital and analog games as cultural artifacts, material technologies, and social practices. This course presents the fundamentals of academic writing and research practices in game studies. Prerequisite", ANGM 2310 or ATCM 2320 or ATCM 2321. (0-3) Y,
ANGM,ANGM3367,"ANGM 3367 Level Design I (3 semester credit hours) This course focuses on theory and practice for extended game experiences in digital game development. Students will experiment with mechanics, design level maps, and build playable prototypes in a modern game engine. Concepts will explore challenge scaffolding, player guidance, collisions, and event scripting. Prerequisite", ANGM 2310 with a grade of B or better. (0-3) S,
ANGM,ANGM3368,"ANGM 3368 Scripting for Games I (3 semester credit hours) This course explores concepts and practices in scripting for digital game development. Students will learn proper syntax and code structure as well as how to manipulate objects during run-time to create playable, digital prototypes. Concepts will explore basic game state, feedback systems, object interactions, and asset management. Prerequisite", ANGM 2310 with a grade of B or better or Instructor consent required. (0-3) Y,
ANGM,ANGM3369,"ANGM 3369 Games and Narrative I (3 semester credit hours) This course explores the unique challenges of storytelling in games through practical techniques for narrative creation. Students in this course will analyze game design principles, storytelling structures across media, and traditional writing processes to improve their understanding of narrative structures for games. Course covers both experimental and traditional interactive forms. Prerequisite", ANGM 3365. (3-0) Y,
ANGM,ANGM3370,"ANGM 3370 Virtual Environments I (3 semester credit hours) This course explores methods and techniques used in the design, development, and implementation of virtual environments for use in real-time experiences and simulations. Topics include aesthetics, architecture, and deployment, which can utilize a wide variety of applications. Prerequisite", ANGM 2310. (0-3) Y,
ANGM,ANGM3372,"ANGM 3372 Sound Design for Games (3 semester credit hours) Exploration of sound design principles, soundscapes, voice acting, and music as they relate to digital game development. Students in the course will examine key concepts of sound design for games within the constraints of interactive media, gameplay requirements, and virtual environments. Prerequisite", ANGM 2345. (0-3) T,
ANGM,ANGM3373,"ANGM 3373 Field Audio Recording Techniques (3 semester credit hours) This course covers the theoretical and practical processes of recording audio outside of the studio. Students will perform multi-track recordings of live performances, film-style audio recordings, ambisonic/surround recordings, and gain valuable hands-on experience with a multitude of audio equipment. May be repeated for credit (6 semester credit hours maximum). Prerequisite", ANGM 2345. (0-3) S,
ANGM,ANGM3380,"ANGM 3380 Virtual Reality (3 semester credit hours) This course is designed for students who are new to virtual reality and want to learn about the principles and history of VR technology including optics, haptics, locomotion, displays, stereopsis, tracking, and major hardware platforms. No programming experience is required. Knowledge of one or more current game engines is preferred. By the end of this course, students will have created and deployed a VR application. Prerequisite", ANGM 2310. (0-3) Y,
ANGM,ANGM3381,"ANGM 3381 Augmented Reality (3 semester credit hours) We will explore the principles, technologies, and applications of augmented reality (AR). AR is a rapidly evolving field that blends the physical and digital worlds, offering endless possibilities across various industries. Through a combination of lectures, hands-on projects, and discussions, you will gain a solid understanding of AR concepts and develop practical skills for creating AR experiences. Topics include"," AR hardware, mobile AR, tracking, gestures, rendering, user interaction, marker based vs markerless AR, and anchors. Prerequisite: ANGM 2310 with a grade of B or better. (0-3) Y",
ANGM,ANGM4304,"ANGM 4304 Visual Development (3 semester credit hours) Visual Development explores the creation of environments, characters, and props while using story as the guide. Elements of design, composition, color, and more will be combined to bring to life appealing worlds for both animation and games. This course explores multiple mediums, traditional and digital. Prerequisite", ANGM 3304 or ANGM 3314 with a grade of B or better. (0-3) Y,
ANGM,ANGM4305,"ANGM 4305 Computer Animation II (3 semester credit hours) This course is a further exploration of ideas and principles and concepts utilized in the Computer Animation I course. This class will focus on mechanics, movement of the human body and translation into believable performances through animation. Prerequisite", ANGM 3305 with a grade of B or better. (0-3) Y,
ANGM,ANGM4306,"ANGM 4306 Modeling and Texturing II (3 semester credit hours) This advanced level course is a continuation of the topics and techniques taught in Modeling and Texturing I. This course will further examine best practices for 3D modeling and texturing pipeline-ready assets, both hard-surface and organic. Special attention will be given to character creation, emphasizing proper mesh flows for animation deformation. Additional techniques covered include 3D painting applications and sculpting details for baked texture maps. Prerequisite", ANGM 3306 with a grade of B or better. (0-3) S,
ANGM,ANGM4307,"ANGM 4307 Lighting and Composition II (3 semester credit hours) This advanced level course builds on the topics and workflows presented in Lighting and Composition I. Advanced lighting and compositing fundamentals are discussed and examined. The principles and techniques covered are geared towards feature film and television work. Areas covered include Global Illumination, image-based lighting (IBL), and node-based compositing. Registration for this course will be based on the faculty's review of the student's portfolio. Prerequisite", ANGM 3307 with a grade of B or better. (0-3) Y,
ANGM,ANGM4308,"ANGM 4308 Rigging II (3 semester credit hours) This course is a continuation of the Rigging I course and will continue with concepts, tools, and techniques used in 3D animation for setting up clean and efficient 3D rigs that are easily and intuitively animated. Topics will include squash and stretch capabilities in rigs, basic MEL scripting, simple dynamics, facial rigs, and basic animation principles for complex rigs. Registration for this course will be based on the faculty's review of the student's portfolio. Prerequisite", ANGM 3308 with a grade of B or better. (0-3) Y,
ANGM,ANGM4309,"ANGM 4309 Storyboarding (3 semester credit hours) Storyboarding focuses on the creation of engaging time-based visual stories told through images. Topics will include cinematography basics, camera terminology, creating shots and sequences, editing and timing, and story motivation. Emphasis will be placed on creating production ready engaging story reels using industry standard practices. Prerequisite", ANGM 2309 with a grade of B or better. (0-3) S,
ANGM,ANGM4310,"ANGM 4310 Motion Capture Animation (3 semester credit hours) In this group project-based course, students practice the motion capture pipeline from calibrating the system to editing data and applying data to 3D characters and follow the 3D computer animation production process to complete short animations. End products are expected to be high quality animations appropriate for professional demo reels. Prerequisite", ANGM 3305 or ANGM 3306 or ANGM 3307 or ANGM 3308. (0-3) Y,
ANGM,ANGM4312,ANGM 4312 Digital Sculpting (3 semester credit hours) This advanced level course takes an artistic and organic approach to the creation of digital 3D polygonal geometry with an emphasis on art and design principles. This class examines how to translate 2D art into 3D models while maintaining the original character and appeal of the art. Various tools and techniques will be discussed allowing students to explore digital sculpting software. Prerequisite, ANGM 3306 with a grade of B or higher. (0-3) Y,
ANGM,ANGM4313,"ANGM 4313 Digital Effects (3 semester credit hours) This course explores methods and techniques used in the design and development of digital effects for naturalistic phenomena used in films, motion graphics and visualization. Topics include instancing, particle systems, volumes, dynamics and simulation. Students learn to produce and direct realistic digital effects using Houdini. Prerequisite", ANGM 3305 or ANGM 3306 or ANGM 3307 or ANGM 3308 or ANGM 3310 with a grade of B or better. (0-3) Y,
ANGM,ANGM4314,ANGM 4314 Character Effects (3 semester credit hours) Students learn the principles of designing and executing character grooms using the latest tools and techniques common in major film studios today. They will also develop technical skills in cloth simulation and a deeper understanding of fluid cloth simulation of fabric-based materials. Prerequisite, ANGM 3305 or ANGM 3306 or ANGM 3307 or ANGM 3308. (0-3) R,
ANGM,ANGM4315,"ANGM 4315 Computer Animation III (3 semester credit hours) In this course, students will establish an understanding of acting and body language as it pertains to animation. Students will continue to build a vocabulary of terms and concepts and develop their constructive, technical, and aesthetic ability to critique as it relates to animation as an art form. Students will continue to develop a practical understanding of the specific computers and software used in the course as it pertains to the animation workflow. Prerequisite", ANGM 4305 with a grade of B or higher. (0-3) Y,
ANGM,ANGM4316,ANGM4316,,
ANGM,ANGM4317,ANGM4317,,
ANGM,ANGM4318,ANGM4318,,
ANGM,ANGM4319,ANGM4319,,
ANGM,ANGM4320,"ANGM 4320 2D Animation Lab (3 semester credit hours) 2D Animation Lab provides students with a full production experience teaching the process of creating animated short films from concept through completion. Students will participate in all areas of 2D production including beat boards, story reel creation, background layout and design, character design, expression and pose sheets, animation, basic compositing, and more. May be repeated for credit as projects vary (6 semester credit hours maximum). Prerequisites", ANGM 2309 with a grade of B or better and ANGM 3313 with a grade of B or better. (0-3) Y,
ANGM,ANGM4321,"ANGM 4321 Collaborative Modeling (3 semester credit hours) This advanced level course explores collaborative design through 3D modeling. Students will work in teams to create visually appealing 3D scenes and illustrations. Topics will include pre-production and organization, pipeline procedures, and methods for ensuring unity across a collective project. Prerequisite", ANGM 3306 with a grade of B or higher. (0-3) Y,
ANGM,ANGM4322,ANGM4322,,
ANGM,ANGM4323,"ANGM 4323 Real Time Texturing (3 semester credit hours) This course will introduce students to the basics of creating real-time textures for use in 3D applications. Topics will include texturing, physically based rendering, and procedural patterns. Prerequisite", ANGM 2310. (0-3) Y,
ANGM,ANGM4338,"ANGM 4338 Motion Design II (3 semester credit hours) This course builds on the principles introduced in Motion Design I. Students will continue to explore techniques used in graphic design to enhance a communicated message through a variety of animation techniques. Students will work with image, text, audio, and movement to create dynamic visual communication pieces. Prerequisite", ANGM 3338 with a grade of B or better. (3-0) Y,
ANGM,ANGM4339,ANGM4339,,
ANGM,ANGM4346,"ANGM 4346 Audio Productions Lab II (3 semester credit hours) This course is a continuation of Audio Productions Lab and explores the psychological implications as well as the artistic, cultural, and social dimensions of the use of audio in films, games, and for various other applications. Students will record, edit, process, and diffuse recorded material as well as learn how to select a voice, an instrument, and a sound effect; they will write for auditory presentations and direct recording sessions. May be repeated for credit as projects vary (6 semester credit hours maximum). Prerequisite", ANGM 3346. (0-3) R,
ANGM,ANGM4347,"ANGM 4347 Recording Studio Techniques II (3 semester credit hours) Continuation in teaching concepts of recording instruments and vocals. Students will learn techniques for recording various instruments used in popular music. Topics covered include studio signal flow, microphone selection and placement, use of outboard and software-based effects processors, overdubbing, creating composite audio tracks, mixing, gain staging, audio processors, and basic file and session management. Prerequisite", ANGM 3347. (0-3) Y,
ANGM,ANGM4350,ANGM4350,,
ANGM,ANGM4351,"ANGM 4351 Immersive Technologies Lab (3 semester credit hours) In the Immersive Technologies class, students will embark on an exciting journey into the world of storytelling through augmented and virtual reality technologies. This hands-on course is designed to provide students with practical experience in developing virtual reality (VR) and augmented reality (AR) applications and games for real world clients. May be repeated for credit as projects vary (6 semester credit hours maximum). Prerequisite", ANGM 3380 or ANGM 3381. (0-3) R,
ANGM,ANGM4365,"ANGM 4365 Game Design II (3 semester credit hours) Advanced study of interactive game design, focusing on methods and techniques for rapid digital prototyping, mechanical iteration, tuning, and balancing. Students in the course will examine both successes and failures to improve on successive iterations of a game mechanic, concept, or experience. Prerequisite", ANGM 3365. (0-3) Y,
ANGM,ANGM4366,"ANGM 4366 Game Studies II (3 semester credit hours) Advanced research in game studies with a focus on critical analysis, research methodologies, and the application of principles from related academic fields. Students in this course will explore an original research topic in game studies. Prerequisite", ANGM 3366. (3-0) T,
ANGM,ANGM4367,"ANGM 4367 Level Design II (3 semester credit hours) Exploration of advanced methods and techniques in level design for interactive games, including contextual player guidance, challenge scaffolding, indexical storytelling, complex event scripting, and asset management. Prerequisite", ANGM 3367 with a grade of B or better. (0-3) T,
ANGM,ANGM4368,"ANGM 4368 Scripting for Games II (3 semester credit hours) This course explores advanced concepts and practices in scripting for digital game development. Students will build more complex game systems and mechanics while learning best practices in modern game development. Concepts will explore player input, game control systems, and team collaboration practices. Prerequisite", ANGM 3368 with a grade of C or better. (3-0) Y,
ANGM,ANGM4369,"ANGM 4369 Games and Narrative II (3 semester credit hours) This course explores intermediate and advanced storytelling challenges in digital and analog games through the application of practical techniques and creative practice. Students in the course will pitch, prototype, develop, and launch a single narrative-heavy game or narrative-heavy prototype of an original design, developed in one or more professional-level game engines or tools. The course covers both experimental and traditional interactive forms. Prerequisite", ANGM 3369. (3-0) R,
ANGM,ANGM4370,"ANGM 4370 Virtual Environments II (3 semester credit hours) Exploration of advanced methods and techniques used in virtual environments for real-time experiences and simulations. Topics may include composition, style adherence, shader development, vertex painting, indexical storytelling, and pipeline optimization. Prerequisite", ANGM 3370 with a grade of B or higher. (0-3) R,
ANGM,ANGM4373,"ANGM 4373 Animation for Games (3 semester credit hours) This course builds upon the foundational principles explored in Animation I. Students will learn and practice animation processes, from preparation and planning to animating a fully rigged character using key frame animation, to implementation into a game engine to create a real-time, immersive user experience. Prerequisite", ANGM 3305. (3-0) Y,
ANGM,ANGM4374,"ANGM 4374 Mobile Game Development (3 semester credit hours) This course explores development practices for building games on hardware with non-traditional input systems. Experimental approaches are taken to account for device inputs and restrictions, while building playable prototypes on handheld devices. Concepts will explore touch-based input systems, device limitations, and experimental game design. Prerequisite", ANGM 3368 with a grade of C or better. (0-3) R,
ANGM,ANGM4375,"ANGM 4375 Game Design III (3 semester credit hours) Advanced research in interactive game design and development, focusing on experimental, educational, and simulation-based games. Students in the course will develop original games individually and in teams, with an emphasis on mechanical innovation, technical achievement, and unique player experiences. Prerequisite", ANGM 4365. (3-0) T,
ANGM,ANGM4376,ANGM4376,,
ANGM,ANGM4377,ANGM4377,,
ANGM,ANGM4379,ANGM4379,,
ARAB,ARAB1311,"ARAB 1311 (ARAB 1411) Beginning Arabic I (3 semester credit hours) Development of basic skills in listening, speaking, reading, and writing within a cultural framework. Prerequisite", Equivalent based on placement exam score or instructor consent required. (3-0) S,"School of Arts, Humanities, and Technology"
ARAB,ARAB1312,"ARAB 1312 (ARAB 1412) Beginning Arabic II (3 semester credit hours) Continued development of basic skills in listening, speaking, reading, and writing within a cultural framework. Prerequisite", ARAB 1311 or equivalent based on placement exam score or instructor consent required. (3-0) S,"School of Arts, Humanities, and Technology"
ARAB,ARAB2310,ARAB2310,,"School of Arts, Humanities, and Technology"
ARAB,ARAB2311,"ARAB 2311 (ARAB 2311) Intermediate Arabic I (3 semester credit hours) Review of Beginning Arabic I and II (or equivalent); development of intermediate-level skills in listening, speaking, reading, and writing within a cultural framework. Prerequisite", ARAB 1312 or equivalent based on placement exam score or instructor consent required. (3-0) Y,"School of Arts, Humanities, and Technology"
ARAB,ARAB2312,"ARAB 2312 (ARAB 2312) Intermediate Arabic II (3 semester credit hours) Continued development of intermediate-level skills in listening, speaking, reading, and writing within a cultural framework. Prerequisite", ARAB 2311 or equivalent based on placement exam score or instructor consent required. (3-0) Y,"School of Arts, Humanities, and Technology"
ARAB,ARAB2316,ARAB 2316 Topics in Arabic Culture (3 semester credit hours) Topics in the cultural diversity of the Arabic-speaking world. Prerequisite, ARAB 1312 or equivalent based on placement exam score or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
ARAB,ARAB3351,ARAB3351,,"School of Arts, Humanities, and Technology"
ARHM,ARHM1100,"ARHM 1100 First Year Seminar (1 semester credit hour) This course is a graduation requirement for all freshmen in the School of Arts and Humanities (A&H). Incoming freshmen will learn about the intellectual and cultural environment in the School of Arts and Humanities through lectures, activities, guest panels, and attendance at artistic and cultural events. Students will also learn about A&H majors, research opportunities, careers, and internships. This course is open to all non-A&H majors. Corequisite", UNIV 1010. (1-1) Y,"School of Arts, Humanities, and Technology"
ARHM,ARHM2340,ARHM2340,,"School of Arts, Humanities, and Technology"
ARHM,ARHM2342,ARHM2342,,"School of Arts, Humanities, and Technology"
ARHM,ARHM2343,ARHM2343,,"School of Arts, Humanities, and Technology"
ARHM,ARHM2344,ARHM2344,,"School of Arts, Humanities, and Technology"
ARHM,ARHM2V71,ARHM2V71,,"School of Arts, Humanities, and Technology"
ARHM,ARHM3100,ARHM3100,,"School of Arts, Humanities, and Technology"
ARHM,ARHM3342,ARHM 3342 Advanced Interdisciplinary Studies in the Arts and Humanities (3 semester credit hours) Focuses on a significant topic or issue through which students are offered an opportunity to gain experience in various analytic and interpretive approaches. Explores interdisciplinary connections among artistic and intellectual endeavors appropriate to a range of courses in the Arts and Humanities. Topics will include the convergence of the liberal arts. May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisites, RHET 1302 and Completion of 040 Core. (3-0) R,"School of Arts, Humanities, and Technology"
ARHM,ARHM4V71,ARHM 4V71 Independent Study in the Arts and Humanities (1-3 semester credit hours) Independent study under a faculty member's direction. Signature of instructor and Associate Dean on proposed project outline required. May be repeated for credit (9 semester credit hours maximum). Prerequisites, Upper-division standing and instructor consent required. ([1-3]-0) R,"School of Arts, Humanities, and Technology"
ARHM,ARHM4V99,ARHM4V99,,"School of Arts, Humanities, and Technology"
ARTS,ARTS1301,ARTS1301,,"School of Arts, Humanities, and Technology"
ARTS,ARTS1315,ARTS1315,,"School of Arts, Humanities, and Technology"
ARTS,ARTS1316,ARTS1316,,"School of Arts, Humanities, and Technology"
